config_id,images,mean_object_f1,median_object_f1,mean_precision,mean_recall,mean_matched_iou,mean_matched_dice,mean_absolute_count_error,median_absolute_count_error,mean_true_instances,mean_pred_instances,no_prediction_rate,median_latency_ms,mean_latency_ms,input_mode,normalize,invert,diameter,flow_threshold,cellprob_threshold,min_size
rgb_diameter_15,29,0.796,0.9032,0.8313,0.7716,0.7731,0.8396,8.6552,2.0,40.8966,40.1724,0.0345,1844.764,2699.5047,rgb,True,False,15.0,0.4,0.0,15
gray_mean,29,0.7535,0.9032,0.7993,0.721,0.7359,0.8027,9.9655,2.0,40.8966,38.4483,0.0345,719.033,1005.8992,gray_mean,True,False,,0.4,0.0,15
gray_max,29,0.7149,0.8556,0.7784,0.6754,0.7316,0.8003,11.8276,2.0,40.8966,36.5862,0.0345,714.506,1000.933,gray_max,True,False,,0.4,0.0,15
rgb_flow_0,29,0.7047,0.8571,0.7396,0.6827,0.7071,0.7716,9.2759,2.0,40.8966,39.4138,0.069,689.677,975.8981,rgb,True,False,,0.0,0.0,15
rgb_cellprob_-1,29,0.6815,0.88,0.7285,0.6497,0.6768,0.74,10.0,2.0,40.8966,38.2759,0.1034,717.557,1058.8487,rgb,True,False,,0.4,-1.0,15
rgb_invert,29,0.6799,0.88,0.7163,0.6575,0.6851,0.7449,9.3103,2.0,40.8966,39.1034,0.1034,725.978,998.6657,rgb,True,True,,0.4,0.0,15
rgb_diameter_30,29,0.6753,0.8533,0.7218,0.6442,0.6875,0.7464,10.0,2.0,40.8966,38.2759,0.1034,727.673,1021.9755,rgb,True,False,30.0,0.4,0.0,15
rgb_baseline,29,0.6753,0.8533,0.7218,0.6442,0.6875,0.7464,10.0,2.0,40.8966,38.2759,0.1034,737.831,1060.5382,rgb,True,False,,0.4,0.0,15
rgb_cellprob_-2,29,0.6615,0.8261,0.7238,0.6201,0.6518,0.7248,11.5862,2.0,40.8966,36.069,0.1034,754.022,1048.0775,rgb,True,False,,0.4,-2.0,15
rgb_diameter_60,29,0.6524,0.8232,0.712,0.6125,0.6709,0.7363,10.5172,2.0,40.8966,36.1724,0.1034,315.108,437.14,rgb,True,False,60.0,0.4,0.0,15
