method,method_label,image_id,object_f1,precision,recall,mean_matched_iou,true_instances,pred_instances,false_positives,false_negatives,absolute_count_error,latency_ms,failure_hint
otsu_watershed,Otsu + watershed,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,0.0,0.0,0.0,0.0,12,87,87,12,75,15.948,FN+FP
otsu_watershed,Otsu + watershed,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,0.0552,0.033,0.1691,0.6113,136,698,675,113,562,393.408,FN+FP
otsu_watershed,Otsu + watershed,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,0.1386,0.1144,0.1759,0.622,199,306,271,164,107,182.675,FN+FP
otsu_watershed,Otsu + watershed,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,0.1609,0.1014,0.3889,0.7355,18,69,62,11,51,15.499,FP/OVER
otsu_watershed,Otsu + watershed,b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,0.1739,0.1081,0.4444,0.6868,9,37,33,5,28,11.917,FP/OVER
cellpose_cpsam,Cellpose-SAM,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,0.5556,0.75,0.4412,0.7516,136,80,20,76,56,3733.813,FN
cellpose_cpsam,Cellpose-SAM,b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,0.625,0.7143,0.5556,0.8237,9,7,2,4,2,663.08,MIXED
cellpose_cpsam,Cellpose-SAM,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,0.8085,0.95,0.7037,0.8221,27,20,1,8,7,1385.73,MIXED
cellpose_cpsam,Cellpose-SAM,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,0.8212,0.9254,0.7381,0.7619,84,67,5,22,17,699.977,MIXED
cellpose_cpsam,Cellpose-SAM,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,0.8293,0.9444,0.7391,0.7967,23,18,1,6,5,669.652,MIXED
sam2_amg,SAM2 AMG,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,0.0,0.0,0.0,0.0,199,2,2,199,197,2007.133,FN+FP
sam2_amg,SAM2 AMG,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,0.0,0.0,0.0,0.0,130,15,15,130,115,1498.222,FN+FP
sam2_amg,SAM2 AMG,ad473063dab4bf4f2461d9a99a9c0166d4871f156516d9e0a523484e7cf2258d,0.0,0.0,0.0,0.0,84,8,8,84,76,1484.695,FN+FP
sam2_amg,SAM2 AMG,942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0,0.0,0.0,0.0,0.0,51,1,1,51,50,1617.74,FN+FP
sam2_amg,SAM2 AMG,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,0.0,0.0,0.0,0.0,27,4,4,27,23,2260.616,FN+FP
