split,image_id,method,perturbation,perturbation_params,iou_threshold,latency_ms,true_instances,pred_instances,matched_instances,false_positives,false_negatives,precision,recall,object_f1,mean_matched_iou,mean_matched_dice,count_error,absolute_count_error
stage1_train_tiny_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,clean,{},0.5,15.729,27,24,17,7,10,0.7083333333333334,0.6296296296296297,0.6666666666666667,0.7260536719831433,0.838335824459207,-3,3
stage1_train_tiny_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,gaussian_noise,{'sigma': 0.08},0.5,6.469,27,27,14,13,13,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.6969427154155997,0.8190515885551043,0,0
stage1_train_tiny_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,gaussian_blur,{'sigma': 1.5},0.5,6.103,27,22,18,4,9,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.7240164173096171,0.8361298665994178,-5,5
stage1_train_tiny_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,downsample_upsample,{'scale': 0.5},0.5,6.046,27,23,18,5,9,0.782608695652174,0.6666666666666666,0.72,0.7230949558730901,0.8354950423699403,-4,4
stage1_train_tiny_subset,00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,otsu_watershed,contrast_inversion,{},0.5,6.677,27,22,18,4,9,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.7168095847055057,0.8316245870855938,-5,5
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,otsu_watershed,clean,{},0.5,8.423,32,37,26,11,6,0.7027027027027027,0.8125,0.7536231884057971,0.6779816273595448,0.8070462144359252,5,5
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,otsu_watershed,gaussian_noise,{'sigma': 0.08},0.5,10.474,32,40,19,21,13,0.475,0.59375,0.5277777777777778,0.6495806052280146,0.7847673583797325,8,8
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,otsu_watershed,gaussian_blur,{'sigma': 1.5},0.5,8.207,32,32,28,4,4,0.875,0.875,0.875,0.7113848173205586,0.8298121729318414,0,0
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,otsu_watershed,downsample_upsample,{'scale': 0.5},0.5,6.756,32,34,26,8,6,0.7647058823529411,0.8125,0.787878787878788,0.6907384935523553,0.815493413413127,2,2
stage1_train_tiny_subset,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,otsu_watershed,contrast_inversion,{},0.5,6.852,32,36,26,10,6,0.7222222222222222,0.8125,0.7647058823529411,0.6570122109321783,0.7917878799091961,4,4
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,otsu_watershed,clean,{},0.5,6.618,18,20,18,2,0,0.9,1.0,0.9473684210526316,0.8573785107966337,0.9181889259143351,2,2
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,otsu_watershed,gaussian_noise,{'sigma': 0.08},0.5,6.608,18,24,14,10,4,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.7995947119607291,0.8846241607145745,6,6
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,otsu_watershed,gaussian_blur,{'sigma': 1.5},0.5,6.075,18,20,15,5,3,0.75,0.8333333333333334,0.7894736842105262,0.888564908825194,0.9389637328487537,2,2
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,otsu_watershed,downsample_upsample,{'scale': 0.5},0.5,6.754,18,21,16,5,2,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.8676641163875136,0.92495072299358,3,3
stage1_train_tiny_subset,7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,otsu_watershed,contrast_inversion,{},0.5,6.09,18,18,17,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8719023354889933,0.9272750687640519,0,0
stage1_train_tiny_subset,bde3727f3a9e8b2b58f383ebc762b2157eb50cdbff23e69b025418b43967556b,otsu_watershed,clean,{},0.5,57.07,106,200,70,130,36,0.35,0.660377358490566,0.45751633986928103,0.7771676137249499,0.8610278859658884,94,94
stage1_train_tiny_subset,bde3727f3a9e8b2b58f383ebc762b2157eb50cdbff23e69b025418b43967556b,otsu_watershed,gaussian_noise,{'sigma': 0.08},0.5,53.715,106,244,45,199,61,0.18442622950819673,0.42452830188679247,0.2571428571428571,0.7154698261895895,0.8262666035061074,138,138
stage1_train_tiny_subset,bde3727f3a9e8b2b58f383ebc762b2157eb50cdbff23e69b025418b43967556b,otsu_watershed,gaussian_blur,{'sigma': 1.5},0.5,45.47,106,205,66,139,40,0.32195121951219513,0.6226415094339622,0.4244372990353698,0.778970911548811,0.8640658287936006,99,99
stage1_train_tiny_subset,bde3727f3a9e8b2b58f383ebc762b2157eb50cdbff23e69b025418b43967556b,otsu_watershed,downsample_upsample,{'scale': 0.5},0.5,51.164,106,195,69,126,37,0.35384615384615387,0.6509433962264151,0.4584717607973422,0.784470426540244,0.8672862791043123,89,89
stage1_train_tiny_subset,bde3727f3a9e8b2b58f383ebc762b2157eb50cdbff23e69b025418b43967556b,otsu_watershed,contrast_inversion,{},0.5,48.112,106,189,67,122,39,0.3544973544973545,0.6320754716981132,0.4542372881355932,0.7991194546287809,0.876905091033794,83,83
stage1_train_tiny_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,otsu_watershed,clean,{},0.5,16.935,24,85,18,67,6,0.21176470588235294,0.75,0.33027522935779813,0.7490593114965822,0.8453271012166561,61,61
stage1_train_tiny_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,otsu_watershed,gaussian_noise,{'sigma': 0.08},0.5,17.124,24,106,7,99,17,0.0660377358490566,0.2916666666666667,0.10769230769230771,0.654833710243648,0.7872255425572133,82,82
stage1_train_tiny_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,otsu_watershed,gaussian_blur,{'sigma': 1.5},0.5,15.961,24,81,16,65,8,0.19753086419753085,0.6666666666666666,0.30476190476190473,0.8012861328993814,0.8805492087626211,57,57
stage1_train_tiny_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,otsu_watershed,downsample_upsample,{'scale': 0.5},0.5,16.292,24,78,16,62,8,0.20512820512820512,0.6666666666666666,0.31372549019607837,0.8015746557305338,0.8813166186864143,54,54
stage1_train_tiny_subset,ff599c7301daa1f783924ac8cbe3ce7b42878f15a39c2d19659189951f540f48,otsu_watershed,contrast_inversion,{},0.5,16.041,24,83,13,70,11,0.1566265060240964,0.5416666666666666,0.24299065420560748,0.7708266672474239,0.8595073256223533,59,59
